"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_responseLogo__9tv_M src","review-details_employerName__MLS_I","review-details_employerDate__XHTEv","review-details_isCollapsed__Bsg_9 3","expand-button_ExpandButton__FlBlZ 2"
"4.0","20 Apr 2018","Great Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW20245986.htm","Anonymous employee","Current employee, less than 1 year","","","","Empowerment, Autonomy and Lots of great problems to solve. Collaborative work culture for the most part.","Tight string on budget to be spent in team expansion but lot of money spent on TV advertising at times. Speed is not as much as can be.","Show more","","","","",""
"5.0","4 Aug 2021","Amazing organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW50660505.htm","Content manager","Current employee, more than 1 year","","","","Very supportive and secure organization. During COVID lockdown, no employees were laid off nor there were salary cuts.

The company really does know how to take care of its employees.","Appraisals can be better than what we currently have. And also, just like MNCs appraisal should happen twice a year.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","4y","Thank you for taking the time to provide your feedback. We are constantly evaluating our benefits and compensation packages and comparing them to our competitors in the area to ensure that our employees get remunerated appropriately. If you would like to discuss the issue more extensively in this regard, please feel free to email us at anchal.kandpal@infoedge.com.

Regards,
Team InfoEdge","Show more"
"5.0","10 Mar 2016","Great Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW9865756.htm","Anonymous employee","Former employee","","","","Transparency
good work culture
Top management is good
timely payment of all the allowances and salary
good understanding between colleages","salary should be competitive with the market
more fun activities to be done in or outside office","Show more","","","","",""
"3.0","25 Apr 2016","Key Account Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW10393571.htm","Anonymous employee","Current employee","","","Noida","Stable company. 
Average working time period is 3 yrs of any employee.
Good Company for women esp after kids. The company has provided creche facility also in their vicinity.
Work Culture overall is good.","Growth is very limited
No extra benefits. Some benefits should be given. Small perks. 
HR is very transnational.","Show more","","","","",""
"4.0","20 Aug 2016","A good place to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW11631404.htm","Senior software engineer","Current employee, more than 1 year","","","Noida","It is a company will all good people around you. They are very supportive and shares knowledge well. Work life balance is very good. We never generally get to do work outside office hours.","Generally late in adopting to new technologies.","Show more","","","","",""
"4.0","26 May 2017","Good Company for freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW15216759.htm","Deputy manager","Former employee, more than 1 year","","","","Exposure is good , Learning is good ,Managers are helpful","Nothing as such but politics and favouritism is at its peak .If you can butter your branch head ,then you are a player .","Show more","","","","",""
"5.0","10 Jun 2017","A great company to work with and huge learning opportunities for freshers.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW15416011.htm","Senior executive","Former employee, more than 1 year","","","Calcutta","Great working environment,  helpful colleagues, hand on training with practical field experience, good salary structure, scope of earning huge incentives.","For freshers field work is a must part of the JD, which is very hard.","Show more","","","","",""
"5.0","23 Sept 2013","Great place to work!","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW3086798.htm","Anonymous intern","Current intern","","","","1) great people, out of all the places i have worked, the people are the happiest.
2) the analyst team is just great. 
3) high quality people.","Not the highest paying job in the world. The IIT people are paid way more than other colleges.","Show more","","","","",""
"4.0","10 Apr 2014","Good work place with personal touch","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW4040426.htm","Branch sales manager","Current employee, more than 8 years","","","New Delhi","a very friendly environment
freedom to experiment
lots of opportunities to express yourself and grow
strong meritocracy","as any emerging enterprise, bureaucracy is getting its root into the system.","Show more","","","","",""
"3.0","19 May 2017","Decent company to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW15131647.htm","Software engineer","Current employee, more than 1 year","","","Noida","Flexible Timing, Friendly Environment , good learning experience.","Not much scaled, not a huge audience. Pays are on the lower side.","Show more","","","","",""
"3.0","16 Mar 2021","Brand Name","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW44058324.htm","Senior executive","Current employee, more than 1 year","","","Noida","Open Door Policy
Management is good","Low Paid Master
Skill enhancement is zero
Everything is manual here
Biasness when it comes to recognition
No WFH Policy
No movement policy though their offices are PAN India
There is nothing in the name of employee retention","Show more","","","","",""
"5.0","30 Mar 2021","Supportive throughout the Pandemic","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW44787996.htm","Content manager","Current employee, more than 1 year","","","Noida","Great company! Apart from having state of the art infrastructure and amenities, their support during the pandemic was amazing! 
 Not even one month during the lockdown year I faced issues with salary or anything. A very well run organization.","None that I can find.","Show more","","","","",""
"5.0","12 Aug 2021","Job security, Good work, autonomy, ownership","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW51026982.htm","Technical lead","Current employee","","","Noida","Good work and fast paced learning
Good work life balance
Company cares about the employees, no salary cuts even in covid
Autonomy to use new innovative approach to solve problems
Ownership of end to end modules","No additional perks other than salary
Low increments","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","4y","Thank you for taking the time to provide your feedback. We are constantly evaluating our benefits and compensation packages and comparing them to our competitors in the area to ensure that our employees get remunerated appropriately. If you would like to discuss the issue more extensively in this regard, please feel free to email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"4.0","14 Sept 2021","taking care of Mumbai operation","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW52510525.htm","Senior manager, operations","Current employee, more than 8 years","","","Mumbai","Loved this organization as it offers to maintain a good balance between professional and personal life","you might have to wait for a long time for further growth but if you are exceptional , passionate, having next level skills set, you might go up soon","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide feedback. Reference your concern, we will internally connect with the respective leaders to explore opportunities & resolve this. If you would like to provide any further feedback or suggest ways that we could assist you, please email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"5.0","24 Jun 2012","The Experience so far is good.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW1643577.htm","Assistant manager","Current employee, less than 1 year","","","Bhubaneshwar","Its a company in rising and will make more market in Future.","For the time being existing market needs to understand the Product offerings of the company.","Show more","","","","",""
"4.0","27 Jul 2012","Extremely employee-friendly place","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW1777722.htm","Content manager","Current employee, more than 1 year","","","Noida","Great management and efficient HR, receive salary on time","A bit of a strict hierarchy at middle-management level","Show more","","","","",""
"4.0","17 Sept 2021","Good organization with miles to go","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW52685326.htm","Senior executive- sales","Former employee, less than 1 year","","","Noida","Using latest technology for monitoring employees performance and growth,","HR business partner not easily approachable, company needs to enroll internal IJPs for smooth transition between it's various sub -verticals that would help employees for better growth opportunity","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide feedback. Your input definitely creates scope for us to introspect. 

Regarding your other concern, The IJP policy at Infoedge is designed to assist our employees with tapping internal job postings and choosing avenues of work that maybe of interest to them or where they feel they can add incremental value. In case you would like to discuss the issues you faced in more detail, feel free to email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"4.0","11 Dec 2021","Had a great experience as a fresher","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW56560528.htm","Group manager","Former employee, more than 8 years","","","Noida","Approachable management 
Happy work environment 
Salary on time","You grow up the ladder timely but the work may not change accordingly 
Salariés are not great 
Management will hear you out but it won’t make much difference as it’s true for most companies.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide feedback. Reference your concern, we will internally connect with the respective leaders to explore opportunities & resolve this. 

Regarding your other issue, we are constantly evaluating our benefits and compensation packages and comparing them to our competitors in the area to ensure that our employees get remunerated appropriately. If you would like to discuss the issue more extensively in this regard, please feel free to email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"3.0","18 Aug 2018","Neutral","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW22036841.htm","Anonymous employee","Current employee","","","","-It is a stable company.
-Work-life balance is fine","-A lot of internal politics specially at higher management level.
-Appraisal process is nearly blind and completely dependant on a few high level managers’ sole discretion(in fact their politics), no 360 reviwes.","Show more","","","","",""
"4.0","2 Jun 2021","Work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW47776166.htm","Software enginnner","Current employee, more than 1 year","","","Noida","Start up Work culture, Lots of learning and suggest self learning to manager and they are open for it. Good salary structure. Sufficient holidays and provide care for famiies in coivid time, free vaccination at office, covid leave","Sometimes work life balance disturbs, and hectic schedule","Show more","","","","",""
"5.0","20 Aug 2021","Amazing experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW51402679.htm","Anonymous contractor","Current contractor, less than 1 year","","","","Everything is good, my manager was so understanding and good. I had a wonderful experience working here. Learnt a lot of new things.","Nothing is bad about this organisation. Everything went so smooth when i was working here on a contractual job for 6 months.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","4y","Thank you for your review. It is a pleasure working with you.

Regards,
Team Info Edge","Show more"
"4.0","7 Jun 2015","Good Places to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW6830788.htm","Anonymous employee","Current employee","","","","1. A stable option with consistent growth
2. Lot of free hand to explore stuff
3. Being a heavy traffic site get a lot of opportunity to learn and implement","A few but not worth mentioning. Most of them can be handled discussing with managers","Show more","","","","",""
"4.0","29 Nov 2017","Have been working with Info Edge for over a decade now.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW18130279.htm","Anonymous employee","Current employee, more than 10 years","","","","Great company to work with.
They have a very transparent set up.
Management is accessible to the employees
The org has its heart at the right place and gives you option to grow.","Don't have much to write here.","Show more","","","","",""
"4.0","26 Mar 2019","Highly Sales driven Organization run with Integrity & Values","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW25345799.htm","Anonymous employee","Current employee","","","","Job Security, Stability, decent paymasters, growth opportunities within the same function","Stingy & conservative thinking, highly cost conscious.","Show more","","","","",""
"2.0","25 May 2020","Jeevan Saathi tech - high work pressure.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW33347557.htm","Software engineer","Current employee, less than 1 year","","","Noida","fun activities responsibilities was given to freshers like us.
Good setup is provided for work from home.","I have to stretch for every project as too much context switching.
we need to do qa job in major projects","Show more","","","","",""
"5.0","20 Aug 2012","I love to work at Info Edge, very cool work culture and lots of to lean here.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW1868343.htm","Systems administrator","Current employee, more than 1 year","","","Noida","info Edge really a nice place to work , has a very cool and friendly work culture.","I did not fine any Cons.","Show more","","","","",""
"1.0","8 Apr 2015","Deputy Manager Corporate Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW6294533.htm","Deputy manager business development","Former employee","","","Chennai","A very good company for the freshers
Good Work-Environment
Strategically placed well in the market
Carry maximum market share in the online employment portal","Humanity need to be considered before chucking out the Sales People
At the end of the day we are also human beings
When the top management sacks it is ethical sacking
However all your small errors will be noticed
Heavy Target and Sales Pressure","Show more","","","","",""
"4.0","27 Nov 2015","Good Working Enviorment","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW8760853.htm","Anonymous employee","Current employee","","","","Good incentives and other benefits.","Very low fixed salary's. Facilities in office area are not up 2 the mark.","Show more","","","","",""
"5.0","6 Jun 2018","Employee friendly company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW20914409.htm","Senior executive","Former employee, more than 3 years","","","Noida","HR policies are very good, favorable for the employees. Excellent scope for learning and growth. Good management and infrastructure.","A little bit of favoritism is there and the salary part. The company does not offer a good salary to freshers.","Show more","","","","",""
"4.0","28 Jun 2019","Great Enviornment","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW27674943.htm","Web designer","Former employee, more than 3 years","","","","- Product base Company
- Management Easily approachable
- Environmental Friendly
- less workload pressure
- Favoritism alot","- Less growth Opportunities
- more comfortzone so its very hard to relocate the another company","Show more","","","","",""
"4.0","21 Sept 2021","Workaholic Environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW52856661.htm","Associate senior executive","Former employee, more than 1 year","","","Noida","Office environment, Good People, Salary credit on 28th of every month.","Very stressful, Working on Saturdays and Sundays, Zero work life balance, hard to ask for taking leaves even if you have enough leave balance.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide feedback. In our earnest endeavours to serve our customers, a few lines of businesses require a rotational off kind of an arrangement. This results in a few associates & teams working across weekends and take offs during weekdays.

Reference to your other concern, we have extensively evaluated the leave policy in comparison to other employers and validated that our leave policy showcases our employee centric approach. We keep revisiting our internal frameworks from time to time and make suitable adjustments to the policy. In case you would like to provide further feedback, please email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"5.0","7 Nov 2021","A very good growth opportunity.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW55022940.htm","S s e(senior software engineer)","Current employee, more than 1 year","","","Noida","A lot to learn but that also depend on the project.
A good work life balance","Less perks in comparison to other product based based companies.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide your feedback. We are constantly evaluating our benefits and compensation packages and comparing them to our competitors in the area to ensure that our employees get remunerated appropriately. However, if you would like to discuss the issue more extensively in this regard, do feel free to email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"4.0","16 Dec 2012","It is a nice place to work for non technical people...!!","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW2211608.htm","Executive","Former employee, less than 1 year","The salary which they offer is too gud and timings are also day shifts only...!!","It is gud for non technical people only...Technical people can opt for it but only as a substitute option..!!","Noida","","","","","","","",""
"5.0","13 Jan 2016","Seeking Assignments In Marketing and B2B sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW9186810.htm","Seeking assignments in marketing and b2b sales","Current employee, more than 1 year","","","New Delhi","Business Development, Online Sales, Sales Promotion, Product Promotion,Team management,key clients relationship,B2C,Sales,Revenue generation,Leadership skills,sales marketing business development, that is what i learn with info edge ltd.","Nothing So much special on this.","Show more","","","","",""
"5.0","27 Jul 2016","Zonal Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW11368400.htm","Anonymous employee","Former employee, more than 5 years","","","Calcutta","One of the best place  to work for.
Awesome work environment
cosmopolitan culture
satisfying remuneration
helpful management","none as such but yes can take risk in going into newer markets","Show more","","","","",""
"2.0","9 May 2017","ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW14976882.htm","Field sales","Current employee","","","Greater Noida","Good Work Life balance and incenticves","Overall good but there are few anarchiost people who ruin the organisation they even slap thier juniors","Show more","","","","",""
"2.0","27 Aug 2019","Good Company for those who have joined in a Sr. Level","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW28865039.htm","Anonymous employee","Current employee","","","","If you have joined in a Sr. Level you can plan for your retirement from Infoedge 
Great Infrastructure
No Hire n fire.","Slow growth path for new joiners and politics at high peak across divisions.","Show more","","","","",""
"5.0","26 Nov 2019","Working with Info Edge","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW30578674.htm","Deputy manager","Former employee, more than 3 years","","","Noida","Best Place to work.Managers are excellent and understand your problems and give the solution . Work environment is friendly.","Did not find any even after 4 yrs . But yes HR should add more fun activities.","Show more","","","","",""
"5.0","16 Sept 2021","Generate leads, convert the leads into customers and post sales service for multiple naukri and Naukri related products.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW52634718.htm","Anonymous employee","Current employee","","","","Best team
Work life balance
Recognition 
Support
Work culture","Salary
Pressure 
Service 
Top management","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide your feedback. We are constantly evaluating our benefits and compensation packages and comparing them to our competitors in the area to ensure that our employees get remunerated appropriately.

Regarding your other concern, as a fast paced organisation, the momentum with which things move might sometimes translate into a lot of work pressure. In the light of the same, we deliberately run engagement initiatives allowing employees to unplug and let their hair down. However, we feel there is scope to do a lot more and have the employees enjoy their stay while they work towards creating some great success stories. Wishing you all the very best and thanking you once again for writing in.

However, if you would like to discuss the issue more extensively in this regard, do feel free to email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"5.0","19 Sept 2012","A Great Place to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW1969501.htm","Senior manager","Current employee, more than 1 year","","","Noida","Highly Growth Oriented
Talented people to work with
Transparent
Dynamic & Young organization
Gives a lot of growth opportunity to employees
Freedom to work in your independent style, on your own ideas","None - I couldn't find any","Show more","","","","",""
"4.0","4 Oct 2014","NIce place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW5096627.htm","Anonymous employee","Current employee","","","","friendly environment,you will have very talented people working with you,you will learn a lot.","i think the only problem with this company is its location it is located at outer of noida thank god we have been provided a shuttle.","Show more","","","","",""
"5.0","28 Sept 2015","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW8099387.htm","Anonymous employee","Former employee","","","","Great work life balance.. Amazing staff.. Nice place to work","Didn't find any.. Only that the location is a bit awkward but can take shuttles so it's good","Show more","","","","",""
"4.0","30 Dec 2015","Excellent company to start your Sales career with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW9038595.htm","Anonymous employee","Former employee, more than 3 years","","","Mumbai","The product sells, some great team leaders and great working atmosphere.","Vague promotions, undeserving people get promoted basis seniority","Show more","","","","",""
"4.0","10 Jun 2016","Average +","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW10887631.htm","Engineer","Current employee","","","Noida","Good Work life balance
Flexible timings
Cool environment
New projects ( can start work from scratch 
Good managers","Too many meetings  and No meeting standard.
Politics at senior level.
Old technologies
No challenging work
Less salary","Show more","","","","",""
"4.0","5 Mar 2019","Work life Balance- Slow work movement","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW25015886.htm","Anonymous employee","Former employee","","","","1, Work life balance]
2. Work with many business stakeholders","1. Slow movement - because all stakeholders need to agree","Show more","","","","",""
"4.0","2 May 2019","Good place to work..but salary not at par with others at your level within the industry","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW25955381.htm","Manager","Current employee, more than 1 year","","","Calcutta","1.  Perfect work life balance
2. Timely salary
3. Great incentive structure
4. Helpful colleagues","1. Low Salary
2. Not enough Growth
3. Linear structure","Show more","","","","",""
"4.0","24 Aug 2020","Positive working environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW35218268.htm","Senior associate","Former employee, more than 1 year","","","Noida","environment of the company is very good. Though in sales, there is a pressure but you are able to achieve your numbers then it will be a good place for you.","in sales, the pressure is high","Show more","","","","",""
"3.0","2 Aug 2021","Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW50559681.htm","Senior executive corporate sales","Current employee","","","","Very good environment for work it will also help you increasing your communication skills if you get a chance to work with international process","No Week offs you will get only 4 offs in a month. Count same for your extra leaves as well","Show more","","","","",""
"4.0","16 Dec 2021","One of the best culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW56793990.htm","Manager","Current employee, more than 1 year","","","","Awsome HR team
One of the best mentors I saw
Friendly culture","Work from home needs to be there, after covid which they implemented...from my end no cons..only work from home needs to implemented to all","Show more","","","","",""
"4.0","12 Jun 2012","Development","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW1594996.htm","Service","Current employee, more than 1 year","","","New Delhi","I can learn many thing from this company that how i can develop my self into my career and really this company provide me a strength for my career .","basically it's nothing but yes lack of professionalism .","Show more","","","","",""
"4.0","26 Jul 2012","Its an Employee Friendly Organization.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW1777348.htm","Human resources - client relations","Current employee, less than 1 year","","","Noida","1. Brand Name
2. Better Scope of Development
3. Improvement in Employability
4. Rewards & Recognition for Motivating work force
5. Employee Friendly","Many of the employees are working since last 10 years so there's no room for cons in our organization.","Show more","","","","",""
"5.0","13 Dec 2015","Awesome company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW8909307.htm","Lead frontend engineer","Current employee, more than 3 years","","","Noida","Good atmosphere,
No work pressure,
Right balance between work and life,
Good vision,
Good salary package.","Average facilities so needs improvement.","Show more","","","","",""
"1.0","4 Feb 2018","Don’t go to this company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW19074152.htm","Software developer","Former employee, more than 3 years","","","Noida","No reason long time jobs and more work in this company and there is no management  please don’t go there","It’s waste my whole day for had been taking Interview there is no management and HR took 1 hour with 1 person ....what is this and there is only 1 vacancy and competition with 200 persons 
1 round-Aptitude 
2nd- java MCQ
3-f2f then MR","Show more","","","","",""
"3.0","8 May 2018","Work review for info edge","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW20497517.htm","Associate senior executive content operations","Former employee, more than 1 year","","","Noida","Best workplace
Resources for work are good
Arrangement of parties on a timely basis","Worst salary
Unfair appraisals
Changes in process every month","Show more","","","","",""
"4.0","24 Jul 2018","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW21634354.htm","Associate assistant manager","Former employee, more than 5 years","","","Noida","Perfect for deserving professionals who are working for long term basis","incentive based program should be generalized","Show more","","","","",""
"5.0","4 Jun 2019","Manager Jeevansathi pune","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW26461198.htm","Manager","Current employee, more than 3 years","","","Pune City","good learning, all ur ideas will be taken care of, suggestions of executive is equal important","it has been 4 years not able to find a single Cons","Show more","","","","",""
"5.0","24 Aug 2012","A great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW1880565.htm","Anonymous employee","Current employee, more than 5 years","","","Noida","growth, good learning, internet sector with a lot ot young and energetic people around you..","I cant think of anything","Show more","","","","",""
"3.0","5 Aug 2015","Decent company to start with.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW7474921.htm","Senior executive","Former employee, more than 1 year","","","Hyderābād","Good market exposure.
Pressure depends on your boss..!! 
My work life was bit easy because of my boss support.","After 1 year, its hard to find where you fit in for your next roles in diff industry..!!","Show more","","","","",""
"3.0","17 Jul 2017","Good for short-time","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW15927787.htm","Anonymous employee","Current employee, more than 8 years","","","","Work/Life Balance.
Powerful brand.
ESOP options.","Lots of Sales pressure.
Increments do not match the pressure given.
Big branches are at a competitive advantage. 
No proper training programme for new employees.
Low salary as per Industry standards.","Show more","","","","",""
"4.0","11 Sept 2018","Very good Environment, No pressure of Time","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW22423797.htm","Software engineer","Current employee, less than 1 year","","","Noida","People, Ambiance, Enthusiasm, Assistance, Enjoyment","Salary, Limited Resources, Cafe, Transportation","Show more","","","","",""
"4.0","7 Oct 2012","Great company to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW2025156.htm","Avp-online marketing","Current employee, more than 1 year","","","New Delhi","Open culture, share your ideas with everybody, openness, quality peer group. Also the company has great work ethic and really understanding and open senior management team.","Sometimes there is a lot of vagueness about certain things.","Show more","","","","",""
"4.0","21 Apr 2016","MBA in Marketing & Sales, with a forward thinking approach to any task that I undertake,or situation I am presented with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW10355967.htm","Anonymous employee","Former employee, less than 1 year","Employee Friendly, Ample of opportunities to learn, Good platform to showcase talent","Cannot grow much internally, Rules and regulation ladden","Noida","","","","","","","",""
"5.0","10 Jun 2016","Excellent environment in the organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW10878154.htm","Anonymous intern","Current intern, less than 1 year","","","","Quiet approachable management.
Managers are very friendly and cooperative.
My project here gives a wide scope of learning and improving the set of my competencies","Nothing I could find till now..","Show more","","","","",""
"4.0","15 Jun 2016","Good place to begin and learn for few initial years.","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW10935502.htm","Anonymous employee","Current employee","Good opportunity to learn for beginners. Pay scale is comparable to other companies. Good work environment.","Not an innovative company. Not much to learn after 3-4 years.","","","","","","","","",""
"3.0","16 May 2017","Fast-Forward sales Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW15077713.htm","Executive","Current employee, more than 1 year","","","Noida","Good Salary
Good name to get associate with.
Do you're Best get Appraisal Every year.","* you Have to Stretch
* Pressure From Manager.
* its B2C
* Promotion happens in same Vertical no movement.","Show more","","","","",""
"3.0","29 Nov 2018","Good Place to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW23616831.htm","Anonymous employee","Former employee","","","","Working atmosphere and team effort are key roles to bind me for 2 years .
Management is approachable and also listen your issues and concerns.","Growth perspectives are quite low
Repeated activities with less focus on skill development","Show more","","","","",""
"4.0","9 May 2019","Very Good company to start a career","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW26072559.htm","Senior associate","Former employee, more than 3 years","","","Noida","Good work environment, support from management to grow up your skill","In terms of growth salary will be hiked but position and work type will remain same for a long time","Show more","","","","",""
"4.0","16 May 2020","Perfect start  for a fresher","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW33216887.htm","Software engineer(internship)","Current intern, less than 1 year","","","Noida","Balanced life, you can easily get holidays whenever you need, intellectual managers and senior technical staff are always ready to help","salary is slightly lesser than other big companies, lesser number of national holidays given","Show more","","","","",""
"3.0","23 Apr 2021","Just Sales pressure","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW45947100.htm","Senior executive corporate sales","Former employee, more than 1 year","","","Calcutta","Timely Salary, product training, On the job training (soft skills)","Long working hours. Company can shift you to any of there verticals changing your whole role in the organization i was placed for 99acres company shifted me to Jeevansathi.com","Show more","","","","",""
